committee,date,absences
City Council,5/18/11 0:00,0
City Council,9/8/11 0:00,0
City Council,11/16/11 0:00,0
City Council,9/12/12 0:00,0
City Council,10/31/12 0:00,0
City Council,12/12/12 0:00,0
City Council,1/17/13 0:00,0
City Council,2/13/13 0:00,0
City Council,6/5/13 0:00,0
City Council,9/11/13 0:00,0
City Council,11/26/13 0:00,0
City Council,12/11/13 0:00,0
City Council,3/5/14 0:00,0
City Council,9/10/14 0:00,0
City Council,10/8/14 0:00,0
City Council,10/15/14 0:00,0
City Council,11/19/14 0:00,0
City Council,5/20/15 0:00,0
City Council,10/28/15 0:00,0
City Council,12/9/15 0:00,0
City Council,4/13/16 0:00,0
City Council,6/22/16 0:00,0
City Council,9/14/16 0:00,0
Committee on Aviation,3/8/11 0:00,0
Committee on Aviation,5/3/11 0:00,0
Committee on Aviation,6/30/11 0:00,0
Committee on Aviation,7/21/11 0:00,0
Committee on Aviation,11/1/11 0:00,0
Committee on Aviation,4/16/12 0:00,0
Committee on Aviation,5/7/12 0:00,0
Committee on Aviation,6/20/12 0:00,0
Committee on Aviation,9/26/12 0:00,0
Committee on Aviation,2/6/13 0:00,0
Committee on Budget and Government Operations,2/8/11 0:00,0
Committee on Budget and Government Operations,3/8/11 0:00,0
Committee on Budget and Government Operations,4/12/11 0:00,0
Committee on Budget and Government Operations,6/7/11 0:00,0
Committee on Budget and Government Operations,6/23/11 0:00,0
Committee on Budget and Government Operations,7/26/11 0:00,0
Committee on Budget and Government Operations,9/6/11 0:00,0
Committee on Budget and Government Operations,3/12/13 0:00,0
Committee on Budget and Government Operations,5/7/13 0:00,0
Committee on Budget and Government Operations,10/19/15 0:00,0
Committee on Budget and Government Operations,12/8/15 0:00,0
Committee on Budget and Government Operations,1/12/16 0:00,0
Committee on Budget and Government Operations,2/9/16 0:00,0
Committee on Budget and Government Operations,3/10/16 0:00,0
Committee on Budget and Government Operations,4/12/16 0:00,0
Committee on Budget and Government Operations,5/17/16 0:00,0
Committee on Budget and Government Operations,6/21/16 0:00,0
Committee on Budget and Government Operations,7/19/16 0:00,0
Committee on Budget and Government Operations,9/13/16 0:00,0
Committee on Budget and Government Operations,11/7/16 0:00,0
Committee on Budget and Government Operations,1/24/17 0:00,0
"Committee on Committees, Rules and Ethics",3/9/11 0:00,0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,0
"Committee on Committees, Rules and Ethics",7/6/11 0:00,0
"Committee on Committees, Rules and Ethics",7/27/11 0:00,0
"Committee on Committees, Rules and Ethics",9/8/11 0:00,0
"Committee on Committees, Rules and Ethics",11/14/11 0:00,0
"Committee on Committees, Rules and Ethics",1/17/17 0:00,0
"Committee on Economic, Capital and Technology Development",2/7/11 0:00,0
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,0
"Committee on Economic, Capital and Technology Development",5/3/11 0:00,0
"Committee on Economic, Capital and Technology Development",8/31/11 0:00,0
Committee on Education and Child Development,12/1/14 0:00,0
Committee on Finance,2/7/11 0:00,0
Committee on Finance,4/11/11 0:00,0
Committee on Finance,5/2/11 0:00,0
Committee on Finance,6/6/11 0:00,0
Committee on Finance,6/22/11 0:00,0
Committee on Finance,7/6/11 0:00,0
Committee on Finance,7/27/11 0:00,0
Committee on Finance,9/7/11 0:00,0
Committee on Finance,5/5/15 0:00,0
Committee on Finance,10/26/15 0:00,0
Committee on Finance,11/16/15 0:00,0
Committee on Finance,1/24/17 0:00,0
Committee on Health and Environmental Protection,9/1/11 0:00,0
Committee on Health and Environmental Protection,7/23/13 0:00,0
Committee on Housing and Real Estate,2/3/11 0:00,0
Committee on Housing and Real Estate,3/2/11 0:00,0
Committee on Housing and Real Estate,4/6/11 0:00,0
Committee on Housing and Real Estate,4/28/11 0:00,0
Committee on Housing and Real Estate,6/6/11 0:00,0
Committee on Housing and Real Estate,6/28/11 0:00,0
Committee on Housing and Real Estate,7/20/11 0:00,0
Committee on Housing and Real Estate,8/30/11 0:00,0
Committee on Housing and Real Estate,5/30/12 0:00,0
Committee on Housing and Real Estate,4/9/15 0:00,0
Committee on Housing and Real Estate,4/13/15 0:00,0
Committee on Housing and Real Estate,12/7/15 0:00,0
Committee on Housing and Real Estate,1/17/17 0:00,0
Committee on Human Relations,6/7/11 0:00,0
Committee on Human Relations,1/18/17 0:00,0
Committee on License and Consumer Protection,1/27/11 0:00,0
Committee on License and Consumer Protection,2/28/11 0:00,0
Committee on License and Consumer Protection,3/30/11 0:00,0
Committee on License and Consumer Protection,4/27/11 0:00,0
