photo_url,alderman,ward,gen_att,cc_att,comm_att,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
,"Proco ""Joe"" Moreno",1,0.57,0.92,0.47,1,1,0.81,0.71,0.56,0.52,0.36,0.37,0.67,0.39,0.46,0.38,0.67,0.59,0.31,0.63,0.36,0.43,0.67,0.39,0.72,0.69,0.57,0.85
,Brian Hopkins,2,0.9,1,0.85,,,,,,,,,,,,,,,,,,0.67,1,0.89,0.89,0.92,0.78,1
,Pat Dowell,3,0.86,1,0.82,1,1,0.95,0.91,0.89,0.82,0.76,0.65,0.81,0.81,0.91,0.72,0.93,0.87,1,0.86,0.75,0.89,1,0.84,0.88,0.89,0.88,0.96
,Sophia King,4,0.86,1,0.78,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.88
,Leslie Hairston,5,0.69,0.97,0.59,1,1,0.95,0.65,0.69,0.56,0.67,0.53,0.58,0.5,0.82,0.63,0.5,0.67,1,0.73,0.56,0.67,0.33,0.71,0.85,0.77,0.42,0.89
,Roderick Sawyer,6,0.7,0.98,0.59,,1,1,0.84,0.83,0.67,0.5,0.69,0.7,0.73,0.57,0.75,0.4,0.62,0.5,0.71,0.57,0.63,1,0.59,0.75,0.79,0.67,0.82
,Gregory Mitchell,7,0.91,1,0.89,,,,,,,,,,,,,,,,,,0.83,0.5,0.9,0.89,0.89,0.94,1
,Michelle Harris,8,0.64,1,0.54,1,1,0.96,0.72,0.57,0.67,0.29,0.56,0.56,0.7,0.91,0.6,0.63,0.77,0.36,0.88,0.58,0.44,0.33,0.57,0.4,0.5,0.63,0.72
,Anthony Beale,9,0.72,0.95,0.66,1,1,1,0.7,0.71,0.72,0.59,0.48,0.6,0.55,0.78,0.76,0.69,0.77,0.73,0.83,0.78,0.69,0.5,0.76,0.63,0.93,0.64,0.75
,Susan Sadlowski Garza,10,0.6,1,0.43,,,,,,,,,,,,,,,,,,0.33,0,0.64,0.58,0.58,0.58,0.76
,Patrick Thompson,11,0.8,1,0.73,,,,,,,,,,,,,,,,,,0.8,0.75,0.63,0.77,0.75,0.83,1
,George A. Cardenas,12,0.51,0.95,0.4,1,1,0.95,0.39,0.32,0.32,0.25,0.35,0.53,0.48,0.5,0.35,0.47,0.44,0.18,0.47,0.36,0.5,0.33,0.6,0.47,0.56,0.67,0.76
