   ,Alderman,Ward,Overall<br>Attendance,City Council<br>Attendance,Committee<br>Attendance,Committee Attendance<br>Over Time (%),2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4
,Michael Scott Jr.,24,93.70%,100.00%,91.80%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,50,81.3,100,92.3,100,100
,Ariel Reboyras,30,92.70%,97.70%,91.60%,100,90.9,94.1,64.3,85,90.5,100,100,100,90,94.4,80,100,92.9,88.9,93.3,100,93.3,88.9,94.4,86.7,94.4
,Gregory Mitchell,7,91.40%,100.00%,89.20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,50,87.5,86.7,86.7,92.9,100
,Brian Hopkins,2,90.20%,100.00%,84.60%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,83.3,88.9,71.4,100
,Raymond Lopez,15,90.20%,100.00%,87.50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,72.7,91.7,94.1,83.3,93.3
,Nicholas Sposato,38,87.60%,98.90%,83.10%,100,61.5,81.8,87.5,91.7,90.9,100,100,71.4,50,93.3,100,83.3,25,57.1,72.7,100,88.9,57.1,88.9,87.5,100
,Jason Ervin,28,86.10%,100.00%,81.80%,100,85.7,75,55.6,69.2,66.7,85.7,76.9,85.7,82.4,83.3,69.2,100,85.7,83.3,100,66.7,86.7,76.9,83.3,85.7,85.7
,Sophia King,4,86.10%,100.00%,78.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,87.5,75
,Anthony Napolitano,41,85.90%,100.00%,78.60%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,83.3,75,77.8,85.7,77.8
,Pat Dowell,3,85.60%,100.00%,81.80%,94.1,87.5,86.7,78.3,73.3,52.9,76.9,77.3,87.5,63.2,90.9,81.8,100,78.6,66.7,86.7,100,80,85.7,86.7,85.7,93.3
,Marty Quinn,13,85.50%,98.90%,81.40%,100,87.5,90.9,94.1,75,45.5,80,84.6,71.4,69.2,73.3,91.7,87.5,78.6,55.6,88.2,100,81.3,81.3,80,92.3,80
,Deborah Mell,33,85.40%,100.00%,79.90%,0,0,0,0,0,0,0,0,66.7,44.4,81.8,90,100,100,85.7,78.6,100,58.3,68.8,91.7,90.9,80
,John Arena,45,85.20%,100.00%,78.90%,100,100,100,90.9,66.7,88.9,100,90.9,71.4,75,88.9,87.5,100,33.3,57.1,81.8,33.3,60,91.7,45.5,81.8,50
,Michele Smith,43,85.00%,100.00%,79.30%,100,88.9,100,81.8,70,63.6,87.5,81.8,83.3,77.8,73.3,88.9,85.7,87.5,100,84.6,75,66.7,92.3,50,64.3,69.2
,Thomas Tunney,44,83.50%,100.00%,79.90%,95.2,81,82.4,66.7,76.5,52.4,85.7,80,84.6,76.2,70.6,93.3,76.9,84.6,72.7,88.9,83.3,80,90,76.5,66.7,77.8
,Chris Taliaferro,29,81.60%,95.50%,75.90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,75,72.7,80,60,91.7
,Derrick Curtis,18,80.60%,100.00%,72.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,42.9,88.9,55.6,80,90.9
,Patrick Thompson,11,80.50%,100.00%,73.30%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,75,50,70,66.7,80,100
,Debra Silverstein,50,80.30%,94.30%,75.10%,100,92.9,80,80,66.7,46.2,77.8,77.8,60,66.7,64.3,87.5,50,71.4,60,81.8,100,92.9,73.3,69.2,66.7,70.6
,Scott Waguespack,32,79.00%,100.00%,72.50%,93.8,62.5,88.2,44.4,41.7,60,50,66.7,66.7,75,85.7,37.5,57.1,91.7,83.3,66.7,33.3,69.2,84.6,81.8,100,85.7
,Carlos Ramirez-Rosa,35,78.90%,100.00%,65.70%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,62.5,40,100,50,100
,Matthew O'Shea,19,78.30%,100.00%,71.80%,100,42.9,69.2,70.6,35.7,60,92.3,66.7,71.4,66.7,100,60,100,57.1,57.1,92.3,66.7,77.8,81,58.8,66.7,80
,Gilbert Villegas,36,77.80%,100.00%,65.90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,77.8,57.1,55.6,71.4,40
,David Moore,17,77.00%,100.00%,70.50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,64.3,81.3,61.5,78.6,58.3
,Walter Burnett Jr. ,27,76.60%,98.90%,70.50%,94.1,71.4,57.1,56.3,25,46.7,81.8,76.9,87.5,52.9,78.6,76.9,66.7,84.6,66.7,70,75,58.8,77.8,68.8,81.3,76.5
,James Cappleman,46,75.00%,97.70%,68.60%,100,71.4,70.6,63.6,31.3,25,71.4,73.7,80,40,64.3,76.9,100,36.4,80,85.7,100,75,75,71.4,76.9,83.3
,Margaret Laurino,39,73.30%,98.90%,65.20%,93.3,72.2,76.9,57.9,57.1,33.3,70,72.2,100,53.8,45.5,71.4,62.5,44.4,28.6,63.6,0,63.6,69.2,70,63.6,76.9
,Anthony Beale,9,72.40%,95.40%,65.50%,100,70,70.6,72,58.8,48,60,54.5,77.8,76.2,68.8,76.9,72.7,83.3,77.8,68.8,50,76.5,62.5,93.3,64.3,75
,Harry Osterman,48,71.10%,100.00%,54.60%,83.3,66.7,71.4,45.5,22.2,30,50,50,100,50,50,33.3,40,42.9,25,37.5,100,88.9,66.7,71.4,71.4,62.5
,Willie Cochran,20,70.90%,93.10%,65.10%,94.4,57.9,64.3,76.2,50,27.8,64.3,50,72.7,45,58.3,61.5,55.6,36.4,55.6,76.9,100,75,81.3,68.8,61.5,86.7
