photo_url,alderman,ward,gen_att,cc_att,comm_att,attendance_arrays
,"Proco ""Joe"" Moreno",1,57.20%,92.00%,46.90%,[1; 1; 0.80952381; 0.714285714; 0.555555556; 0.523809524; 0.357142857; 0.368421053; 0.666666667; 0.388888889; 0.461538462; 0.380952381; 0.666666667; 0.588235294; 0.307692308; 0.631578947; 0.363636364; 0.428571429; 0.666666667; 0.388888889; 0.722222222; 0.692307692; 0.571428571; 0.85]
,Brian Hopkins,2,90.20%,100.00%,84.60%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.666666667; 1; 0.888888889; 0.888888889; 0.916666667; 0.777777778; 1]
,Pat Dowell,3,85.60%,100.00%,81.80%,[1; 1; 0.95; 0.909090909; 0.894736842; 0.821428571; 0.764705882; 0.652173913; 0.8125; 0.807692308; 0.909090909; 0.72; 0.928571429; 0.866666667; 1; 0.857142857; 0.75; 0.894736842; 1; 0.842105263; 0.882352941; 0.888888889; 0.875; 0.956521739]
,Sophia King,4,86.10%,100.00%,78.30%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.8; 0.9; 0.875]
,Leslie Hairston,5,68.90%,96.60%,58.70%,[1; 1; 0.947368421; 0.65; 0.6875; 0.555555556; 0.666666667; 0.526315789; 0.583333333; 0.5; 0.818181818; 0.631578947; 0.5; 0.666666667; 1; 0.733333333; 0.555555556; 0.666666667; 0.333333333; 0.705882353; 0.846153846; 0.769230769; 0.416666667; 0.888888889]
,Roderick Sawyer,6,70.30%,97.70%,59.20%,[; 1; 1; 0.842105263; 0.833333333; 0.666666667; 0.5; 0.6875; 0.7; 0.727272727; 0.571428571; 0.75; 0.4; 0.615384615; 0.5; 0.714285714; 0.571428571; 0.625; 1; 0.588235294; 0.75; 0.785714286; 0.666666667; 0.818181818]
,Gregory Mitchell,7,91.40%,100.00%,89.20%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.833333333; 0.5; 0.9; 0.888888889; 0.888888889; 0.9375; 1]
,Michelle Harris,8,63.80%,100.00%,54.40%,[1; 1; 0.961538462; 0.72; 0.571428571; 0.666666667; 0.294117647; 0.56; 0.555555556; 0.695652174; 0.909090909; 0.6; 0.625; 0.769230769; 0.363636364; 0.882352941; 0.583333333; 0.444444444; 0.333333333; 0.571428571; 0.4; 0.5; 0.625; 0.72]
,Anthony Beale,9,72.40%,95.40%,65.50%,[1; 1; 1; 0.7; 0.705882353; 0.72; 0.588235294; 0.48; 0.6; 0.545454545; 0.777777778; 0.761904762; 0.6875; 0.769230769; 0.727272727; 0.833333333; 0.777777778; 0.6875; 0.5; 0.764705882; 0.625; 0.933333333; 0.642857143; 0.75]
,Susan Sadlowski Garza,10,60.00%,100.00%,43.40%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.333333333; 0; 0.642857143; 0.583333333; 0.583333333; 0.583333333; 0.764705882]
,Patrick Thompson,11,80.50%,100.00%,73.30%,[; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.8; 0.75; 0.625; 0.769230769; 0.75; 0.833333333; 1]
