"(u'Burke, Edward M.', u'Council Office of Financial Analysis Oversight Committee')","{'start_date': u'2014-01-15T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Mitts, Emma', u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Sawyer, Roderick T.', u'Joint Committee: Housing and Real Estate; License and Consumer Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u""O'Connor, Mary"", u'Committee on Aviation')","{'start_date': u'2011-05-18T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Col\xf3n, Rey', u'Joint Committee: Economic, Capital and Technology Development; Finance')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Pope, John', u'Joint Committee: License and Consumer Protection; Human Relations')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Jackson, Sandi', u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2013-01-15T00:00:00'}"
"(u'Sadlowski Garza, Susan', u'Committee on Housing and Real Estate')","{'start_date': u'2015-05-20T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Solis, Daniel', u'Joint Committee: License and Consumer Protection; Human Relations')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Smith, Ed', u'Committee on Aviation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2011-11-30T00:00:00'}"
"(u'Col\xf3n, Rey', u'Committee on Workforce Development and Audit')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Dowell, Pat', u'Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2015-03-11T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u""O'Connor, Mary"", u'Committee on Housing and Real Estate')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Holmes, Natashia', u'Joint Committee: Workforce Development and Audit; Public Safety')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Rugai, Virginia', u'City Council')","{'start_date': u'1995-02-28T00:00:00', 'end_date': u'2011-05-15T00:00:00'}"
"(u'Holmes, Natashia', u'Joint Committee: Economic, Capital and Technology Development; Finance')","{'start_date': u'2013-02-13T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Austin, Carrie M.', u'Joint Committee: Finance; Budget and Government Operations')","{'start_date': u'2015-07-29T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'King, Sophia', u'Joint Committee: Housing and Real Estate; Zoning, Landmarks and Building Standards')","{'start_date': u'2016-06-17T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Balcer, James', u'Joint Committee: Committees, Rules and Ethics; Economic, Capital and Technology Development')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Thompson, JoAnn', u'Joint Committee: Finance; Health and Environmental Protection')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-02-09T00:00:00'}"
"(u'Shiller, Helen', u'Joint Committee: Finance; Police and Fire')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2011-05-16T00:00:00'}"
"(u""O'Shea, Matthew J."", u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Cochran, Willie', u'Joint Committee: Workforce Development and Audit; Public Safety')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Reilly, Brendan', u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u""O'Connor, Mary"", u'City Council')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-17T00:00:00'}"
"(u'Austin, Carrie M.', u'Joint Committee: Housing and Real Estate; Human Relations')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Laurino, Margaret', u'Committee on Budget and Government Operations')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Brookins, Jr., Howard', u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-19T00:00:00'}"
"(u'Dowell, Pat', u'Joint Committee: Human Relations; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2016-04-13T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Laurino, Margaret', u'Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2015-03-11T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Burnett, Jr., Walter', u'Joint Committee: License and Consumer Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2013-07-24T00:00:00', 'end_date': u'2019-05-19T00:00:00'}"
"(u'Mell, Deborah', u'Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2015-03-11T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Osterman, Harry', u'Joint Committee: Aviation; Finance')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Suarez, Regner Ray', u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Cullerton, Timothy M.', u'Joint Committee: Economic, Capital and Technology Development; Health and Environmental Protection')","{'start_date': u'2011-01-13T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Graham, Deborah L.', u'Joint Committee: Health and Environmental Protection; Zoning, Landmarks and Building Standards')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u'Foulkes, Toni', u'Joint Committee: Budget and Government Operations; Housing and Real Estate; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2015-03-11T00:00:00', 'end_date': u'2015-05-18T00:00:00'}"
"(u'Mitts, Emma', u'Committee on Pedestrian and Traffic Safety')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Tunney, Thomas', u'Joint Committee: Budget and Government Operations; Public Safety')","{'start_date': u'2016-04-13T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Moore, David H.', u'Committee on Housing and Real Estate')","{'start_date': u'2015-05-20T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Osterman, Harry', u'Joint Committee: Budget and Government Operations; Public Safety')","{'start_date': u'2016-04-13T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u""O'Shea, Matthew J."", u'Joint Committee: License and Consumer Protection; Public Safety')","{'start_date': u'2016-02-10T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Beale, Anthony', u'Committee on Public Safety')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Brookins, Jr., Howard', u'Joint Committee: Budget and Government Operations; License and Consumer Protection')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Maldonado, Roberto', u'Joint Committee: Pedestrian and Traffic Safety; Transportation and Public Way')","{'start_date': u'2011-05-18T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Mitchell, Gregory I.', u'Joint Committee: Finance; Public Safety')","{'start_date': u'2015-07-29T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Thomas, Latasha R.', u'Joint Committee: Finance; Special Events, Cultural Affairs and Recreation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Austin, Carrie M.', u'Joint Committee: Health and Environmental Protection; Housing and Real Estate')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-05T00:00:00'}"
"(u""O'Shea, Matthew J."", u'Joint Committee; Finance; Public Safety')","{'start_date': u'2015-07-29T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Col\xf3n, Rey', u'Joint Committee: License and Consumer Protection; Human Relations')","{'start_date': u'2011-05-16T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'King, Sophia', u'Joint Committee: License and Consumer Protection; Housing and Real Estate')","{'start_date': u'2016-04-13T00:00:00', 'end_date': u'2019-05-20T00:00:00'}"
"(u'Hairston, Leslie A.', u'Joint Committee: Health and Environmental Protection; License and Consumer Protection')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2015-05-04T00:00:00'}"
"(u'Dowell, Pat', u'Committee on Historical Landmark Preservation')","{'start_date': u'2007-05-21T00:00:00', 'end_date': u'2011-05-16T00:00:00'}"
