Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Zalewski, Michael R.",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Cochran, Willie",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Doherty, Brian",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Cardenas, George A.",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Olivo, Frank",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Tunney, Thomas",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Schulter, Eugene",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Shiller, Helen",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Lyle, Freddrenna",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Smith, Mary Ann",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Fioretti, Bob",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Rice, John",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on License and Consumer Protection,2011-01-27T17:00:00+00:00,"Graham, Deborah L.",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Waguespack, Scott",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Austin, Carrie M.",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Balcer, James",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Pope, John",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Lane, Lona",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Cardenas, George A.",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Dixon, Sharon",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Suarez, Regner Ray",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Mell, Richard F.",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Stone, Bernard",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Shiller, Helen",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Dowell, Pat",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Rice, John",confirmed
Committee on Housing and Real Estate,2011-02-03T16:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Munoz, Ricardo",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Tunney, Thomas",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Burnett, Jr., Walter",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Schulter, Eugene",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Levar, Patrick",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Smith, Mary Ann",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Beale, Anthony",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Foulkes, Toni",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Austin, Carrie M.",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Doherty, Brian",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Burke, Edward M.",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Cardenas, George A.",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Suarez, Regner Ray",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Reboyras, Ariel",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Lane, Lona",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"ColÌ_n, Rey",confirmed
Committee on Finance,2011-02-07T16:00:00+00:00,"Daley, Vi",confirmed
