committee,date,status
City Council,2011-05-18T15:00:00+00:00,recorded
City Council,2011-06-08T15:00:00+00:00,recorded
City Council,2011-07-06T15:00:00+00:00,recorded
City Council,2011-07-28T15:00:00+00:00,recorded
City Council,2011-09-08T15:00:00+00:00,recorded
City Council,2011-10-05T15:00:00+00:00,recorded
City Council,2011-10-12T15:00:00+00:00,recorded
City Council,2011-11-02T15:00:00+00:00,recorded
City Council,2011-11-09T16:00:00+00:00,recorded
City Council,2011-11-16T16:00:00+00:00,recorded
City Council,2011-12-14T16:00:00+00:00,recorded
City Council,2012-01-18T16:00:00+00:00,recorded
City Council,2012-01-19T16:00:00+00:00,recorded
City Council,2012-02-15T16:00:00+00:00,recorded
City Council,2012-03-14T15:00:00+00:00,recorded
City Council,2012-04-18T15:00:00+00:00,recorded
City Council,2012-04-24T15:00:00+00:00,recorded
City Council,2012-05-09T15:00:00+00:00,recorded
City Council,2012-06-06T15:00:00+00:00,recorded
City Council,2012-06-27T15:00:00+00:00,recorded
City Council,2012-07-25T15:00:00+00:00,recorded
City Council,2012-09-12T15:00:00+00:00,recorded
City Council,2012-10-03T15:00:00+00:00,recorded
City Council,2012-10-10T15:00:00+00:00,recorded
City Council,2012-10-31T15:00:00+00:00,recorded
City Council,2012-11-08T15:00:00+00:00,recorded
City Council,2012-11-08T15:00:00+00:00,recorded
City Council,2012-11-15T16:00:00+00:00,recorded
City Council,2012-12-12T16:00:00+00:00,recorded
City Council,2013-01-17T16:00:00+00:00,recorded
City Council,2013-02-13T16:00:00+00:00,recorded
City Council,2013-03-13T15:00:00+00:00,recorded
City Council,2013-04-10T15:00:00+00:00,recorded
City Council,2013-05-08T15:00:00+00:00,recorded
City Council,2013-06-05T15:00:00+00:00,recorded
City Council,2013-06-26T15:00:00+00:00,recorded
City Council,2013-07-17T15:00:00+00:00,recorded
City Council,2013-07-24T15:00:00+00:00,recorded
City Council,2013-09-11T15:00:00+00:00,recorded
City Council,2013-10-16T15:00:00+00:00,recorded
City Council,2013-10-23T15:00:00+00:00,recorded
City Council,2013-11-13T16:00:00+00:00,recorded
City Council,2013-11-20T16:00:00+00:00,recorded
City Council,2013-11-26T16:00:00+00:00,recorded
City Council,2013-12-11T16:00:00+00:00,recorded
City Council,2014-01-15T16:00:00+00:00,recorded
City Council,2014-02-05T16:00:00+00:00,recorded
City Council,2014-03-05T16:00:00+00:00,recorded
City Council,2014-04-02T15:00:00+00:00,recorded
City Council,2014-04-30T15:00:00+00:00,recorded
City Council,2014-05-28T15:00:00+00:00,recorded
City Council,2014-06-25T15:00:00+00:00,recorded
City Council,2014-07-30T15:00:00+00:00,recorded
City Council,2014-09-10T15:00:00+00:00,recorded
City Council,2014-10-08T15:00:00+00:00,recorded
City Council,2014-10-15T15:00:00+00:00,recorded
City Council,2014-11-05T16:00:00+00:00,recorded
City Council,2014-11-12T16:00:00+00:00,recorded
City Council,2014-11-19T16:00:00+00:00,recorded
City Council,2014-12-02T16:00:00+00:00,recorded
City Council,2014-12-10T16:00:00+00:00,recorded
City Council,2015-01-21T16:00:00+00:00,recorded
City Council,2015-03-10T15:00:00+00:00,recorded
City Council,2015-03-18T15:00:00+00:00,recorded
