alderman,quarters,Meetings_Attended,Total_Meetings,Attendance %
"Arena, John",10,14,15,0.9333333333333333333333333333
"Arena, John",11,8,10,0.8
"Arena, John",12,12,14,0.8571428571428571428571428571
"Arena, John",13,11,12,0.9166666666666666666666666667
"Arena, John",14,11,12,0.9166666666666666666666666667
"Arena, John",15,8,8,1
"Arena, John",16,9,13,0.6923076923076923076923076923
"Arena, John",17,7,10,0.7
"Arena, John",18,13,15,0.8666666666666666666666666667
"Arena, John",19,1,3,0.3333333333333333333333333333
"Arena, John",2,5,5,1
"Arena, John",20,13,19,0.6842105263157894736842105263
"Arena, John",21,14,15,0.9333333333333333333333333333
"Arena, John",22,8,14,0.5714285714285714285714285714
"Arena, John",23,11,13,0.8461538461538461538461538462
"Arena, John",24,13,18,0.7222222222222222222222222222
"Arena, John",3,13,13,1
"Arena, John",4,17,17,1
"Arena, John",5,12,12,1
"Arena, John",6,15,16,0.9375
"Arena, John",7,8,11,0.7272727272727272727272727273
"Arena, John",8,14,15,0.9333333333333333333333333333
"Arena, John",9,11,11,1
"Austin, Carrie M.",1,6,6,1
"Austin, Carrie M.",10,14,27,0.5185185185185185185185185185
"Austin, Carrie M.",11,11,13,0.8461538461538461538461538462
"Austin, Carrie M.",12,14,26,0.5384615384615384615384615385
"Austin, Carrie M.",13,10,21,0.4761904761904761904761904762
"Austin, Carrie M.",14,10,17,0.5882352941176470588235294118
"Austin, Carrie M.",15,9,13,0.6923076923076923076923076923
"Austin, Carrie M.",16,14,21,0.6666666666666666666666666667
"Austin, Carrie M.",17,9,14,0.6428571428571428571428571429
"Austin, Carrie M.",18,10,20,0.5
"Austin, Carrie M.",19,0,4,0
"Austin, Carrie M.",2,15,15,1
"Austin, Carrie M.",20,10,19,0.5263157894736842105263157895
"Austin, Carrie M.",21,10,21,0.4761904761904761904761904762
"Austin, Carrie M.",22,9,20,0.45
"Austin, Carrie M.",23,5,17,0.2941176470588235294117647059
"Austin, Carrie M.",24,12,26,0.4615384615384615384615384615
"Austin, Carrie M.",3,21,24,0.875
"Austin, Carrie M.",4,19,25,0.76
"Austin, Carrie M.",5,10,21,0.4761904761904761904761904762
"Austin, Carrie M.",6,10,28,0.3571428571428571428571428571
"Austin, Carrie M.",7,7,20,0.35
"Austin, Carrie M.",8,15,27,0.5555555555555555555555555556
"Austin, Carrie M.",9,10,19,0.5263157894736842105263157895
"Balcer, James",1,7,7,1
"Balcer, James",10,13,23,0.5652173913043478260869565217
"Balcer, James",11,6,10,0.6
"Balcer, James",12,17,23,0.7391304347826086956521739130
"Balcer, James",13,11,13,0.8461538461538461538461538462
"Balcer, James",14,11,14,0.7857142857142857142857142857
"Balcer, James",15,6,8,0.75
"Balcer, James",16,14,20,0.7
"Balcer, James",17,7,11,0.6363636363636363636363636364
"Balcer, James",18,9,12,0.75
"Balcer, James",2,17,17,1
"Balcer, James",3,18,20,0.9
"Balcer, James",4,14,25,0.56
"Balcer, James",5,14,18,0.7777777777777777777777777778
"Balcer, James",6,22,29,0.7586206896551724137931034483
"Balcer, James",7,9,18,0.5
"Balcer, James",8,15,23,0.6521739130434782608695652174
"Balcer, James",9,12,16,0.75
"Beale, Anthony",1,6,6,1
"Beale, Anthony",10,12,22,0.5454545454545454545454545455
"Beale, Anthony",11,7,9,0.7777777777777777777777777778
"Beale, Anthony",12,16,21,0.7619047619047619047619047619
"Beale, Anthony",13,11,16,0.6875
"Beale, Anthony",14,10,13,0.7692307692307692307692307692
"Beale, Anthony",15,8,11,0.7272727272727272727272727273
"Beale, Anthony",16,15,18,0.8333333333333333333333333333
"Beale, Anthony",17,7,9,0.7777777777777777777777777778
"Beale, Anthony",18,11,16,0.6875
"Beale, Anthony",19,1,2,0.5
"Beale, Anthony",2,14,14,1
"Beale, Anthony",20,13,17,0.7647058823529411764705882353
"Beale, Anthony",21,10,16,0.625
"Beale, Anthony",22,14,15,0.9333333333333333333333333333
"Beale, Anthony",23,9,14,0.6428571428571428571428571429
"Beale, Anthony",24,18,24,0.75
"Beale, Anthony",3,18,18,1
"Beale, Anthony",4,14,20,0.7
"Beale, Anthony",5,12,17,0.7058823529411764705882352941
"Beale, Anthony",6,18,25,0.72
"Beale, Anthony",7,10,17,0.5882352941176470588235294118
