alderman,quarters,Meetings_Attended,Total_Meetings,Attendance %
"Arena, John",3,10,10,1
"Arena, John",4,11,11,1
"Arena, John",5,8,8,1
"Arena, John",6,10,11,0.909090909
"Arena, John",7,6,9,0.666666667
"Arena, John",8,8,9,0.888888889
"Arena, John",9,8,8,1
"Arena, John",10,10,11,0.909090909
"Arena, John",11,5,7,0.714285714
"Arena, John",12,6,8,0.75
"Arena, John",13,8,9,0.888888889
"Arena, John",14,7,8,0.875
"Arena, John",15,6,6,1
"Arena, John",16,2,6,0.333333333
"Arena, John",17,4,7,0.571428571
"Arena, John",18,9,11,0.818181818
"Arena, John",19,1,3,0.333333333
"Arena, John",20,9,15,0.6
"Arena, John",21,11,12,0.916666667
"Arena, John",22,5,11,0.454545455
"Arena, John",23,9,11,0.818181818
"Arena, John",24,5,10,0.5
"Austin, Carrie M.",3,18,21,0.857142857
"Austin, Carrie M.",4,13,19,0.684210526
"Austin, Carrie M.",5,6,17,0.352941176
"Austin, Carrie M.",6,5,23,0.217391304
"Austin, Carrie M.",7,5,18,0.277777778
"Austin, Carrie M.",8,9,21,0.428571429
"Austin, Carrie M.",9,7,16,0.4375
"Austin, Carrie M.",10,10,23,0.434782609
"Austin, Carrie M.",11,8,10,0.8
"Austin, Carrie M.",12,8,20,0.4
"Austin, Carrie M.",13,7,18,0.388888889
"Austin, Carrie M.",14,6,13,0.461538462
"Austin, Carrie M.",15,7,11,0.636363636
"Austin, Carrie M.",16,7,14,0.5
"Austin, Carrie M.",17,6,11,0.545454545
"Austin, Carrie M.",18,6,16,0.375
"Austin, Carrie M.",19,0,4,0
"Austin, Carrie M.",20,7,15,0.466666667
"Austin, Carrie M.",21,8,18,0.444444444
"Austin, Carrie M.",22,6,17,0.352941176
"Austin, Carrie M.",23,3,15,0.2
"Austin, Carrie M.",24,10,18,0.555555556
"Balcer, James",3,15,17,0.882352941
"Balcer, James",4,8,19,0.421052632
"Balcer, James",5,10,14,0.714285714
"Balcer, James",6,17,24,0.708333333
"Balcer, James",7,7,16,0.4375
"Balcer, James",8,9,17,0.529411765
"Balcer, James",9,9,13,0.692307692
"Balcer, James",10,9,19,0.473684211
"Balcer, James",11,3,7,0.428571429
"Balcer, James",12,11,17,0.647058824
"Balcer, James",13,8,10,0.8
"Balcer, James",14,7,10,0.7
"Balcer, James",15,4,6,0.666666667
"Balcer, James",16,8,13,0.615384615
"Balcer, James",17,4,8,0.5
"Balcer, James",18,7,10,0.7
"Beale, Anthony",3,15,15,1
"Beale, Anthony",4,8,14,0.571428571
"Beale, Anthony",5,8,13,0.615384615
"Beale, Anthony",6,13,20,0.65
"Beale, Anthony",7,8,15,0.533333333
"Beale, Anthony",8,7,19,0.368421053
"Beale, Anthony",9,6,12,0.5
"Beale, Anthony",10,8,18,0.444444444
"Beale, Anthony",11,4,6,0.666666667
"Beale, Anthony",12,11,15,0.733333333
"Beale, Anthony",13,8,13,0.615384615
"Beale, Anthony",14,6,9,0.666666667
"Beale, Anthony",15,6,9,0.666666667
"Beale, Anthony",16,9,11,0.818181818
"Beale, Anthony",17,4,6,0.666666667
"Beale, Anthony",18,8,12,0.666666667
"Beale, Anthony",19,1,2,0.5
"Beale, Anthony",20,9,13,0.692307692
"Beale, Anthony",21,7,13,0.538461538
"Beale, Anthony",22,11,12,0.916666667
"Beale, Anthony",23,7,12,0.583333333
"Beale, Anthony",24,10,16,0.625
"Brookins, Jr., Howard",3,20,20,1
"Brookins, Jr., Howard",4,9,22,0.409090909
"Brookins, Jr., Howard",5,5,16,0.3125
"Brookins, Jr., Howard",6,10,24,0.416666667
"Brookins, Jr., Howard",7,5,16,0.3125
"Brookins, Jr., Howard",8,5,20,0.25
"Brookins, Jr., Howard",9,5,13,0.384615385
"Brookins, Jr., Howard",10,6,21,0.285714286
"Brookins, Jr., Howard",11,3,7,0.428571429
"Brookins, Jr., Howard",12,0,15,0
"Brookins, Jr., Howard",13,2,14,0.142857143
"Brookins, Jr., Howard",14,3,9,0.333333333
"Brookins, Jr., Howard",15,2,9,0.222222222
"Brookins, Jr., Howard",16,2,13,0.153846154
"Brookins, Jr., Howard",17,1,9,0.111111111
"Brookins, Jr., Howard",18,9,17,0.529411765
"Brookins, Jr., Howard",19,1,5,0.2
"Brookins, Jr., Howard",20,8,16,0.5
"Brookins, Jr., Howard",21,7,16,0.4375
"Brookins, Jr., Howard",22,6,14,0.428571429
"Brookins, Jr., Howard",23,5,14,0.357142857
"Brookins, Jr., Howard",24,6,14,0.428571429
"Burke, Edward M.",3,16,17,0.941176471
"Burke, Edward M.",4,9,17,0.529411765
"Burke, Edward M.",5,6,13,0.461538462
"Burke, Edward M.",6,10,21,0.476190476
"Burke, Edward M.",7,5,16,0.3125
"Burke, Edward M.",8,7,20,0.35
"Burke, Edward M.",9,6,14,0.428571429
"Burke, Edward M.",10,8,22,0.363636364
"Burke, Edward M.",11,5,7,0.714285714
"Burke, Edward M.",12,7,17,0.411764706
"Burke, Edward M.",13,7,14,0.5
"Burke, Edward M.",14,6,9,0.666666667
"Burke, Edward M.",15,5,10,0.5
"Burke, Edward M.",16,8,11,0.727272727
"Burke, Edward M.",17,6,9,0.666666667
"Burke, Edward M.",18,6,13,0.461538462
"Burke, Edward M.",19,1,4,0.25
"Burke, Edward M.",20,7,13,0.538461538
"Burke, Edward M.",21,8,16,0.5
"Burke, Edward M.",22,6,14,0.428571429
"Burke, Edward M.",23,6,12,0.5
"Burke, Edward M.",24,10,16,0.625
"Burnett, Jr., Walter",3,16,17,0.941176471
"Burnett, Jr., Walter",4,10,14,0.714285714
"Burnett, Jr., Walter",5,8,14,0.571428571
"Burnett, Jr., Walter",6,9,16,0.5625
"Burnett, Jr., Walter",7,3,12,0.25
"Burnett, Jr., Walter",8,7,15,0.466666667
"Burnett, Jr., Walter",9,9,11,0.818181818
"Burnett, Jr., Walter",10,10,13,0.769230769
"Burnett, Jr., Walter",11,7,8,0.875
"Burnett, Jr., Walter",12,9,17,0.529411765
"Burnett, Jr., Walter",13,11,14,0.785714286
"Burnett, Jr., Walter",14,10,13,0.769230769
"Burnett, Jr., Walter",15,6,9,0.666666667
"Burnett, Jr., Walter",16,11,13,0.846153846
"Burnett, Jr., Walter",17,8,12,0.666666667
"Burnett, Jr., Walter",18,14,20,0.7
"Burnett, Jr., Walter",19,3,4,0.75
"Burnett, Jr., Walter",20,10,17,0.588235294
"Burnett, Jr., Walter",21,14,18,0.777777778
