alderman,thirds,Meetings_Attended,Total_Meetings,Attendance %
"Arena, John",2,14,14,1
"Arena, John",3,21,21,1
"Arena, John",4,17,18,0.944444444
"Arena, John",5,16,16,1
"Arena, John",6,16,20,0.8
"Arena, John",7,15,15,1
"Arena, John",8,14,16,0.875
"Arena, John",9,16,19,0.842105263
"Arena, John",10,16,17,0.941176471
"Arena, John",11,9,10,0.9
"Arena, John",12,14,18,0.777777778
"Arena, John",13,9,14,0.642857143
"Arena, John",14,11,12,0.916666667
"Arena, John",15,14,21,0.666666667
"Arena, John",16,16,19,0.842105263
"Arena, John",17,10,15,0.666666667
"Arena, John",18,20,26,0.769230769
"Austin, Carrie M.",1,10,10,1
"Austin, Carrie M.",2,22,23,0.956521739
"Austin, Carrie M.",3,29,37,0.783783784
"Austin, Carrie M.",4,14,30,0.466666667
"Austin, Carrie M.",5,9,29,0.310344828
"Austin, Carrie M.",6,19,37,0.513513514
"Austin, Carrie M.",7,14,24,0.583333333
"Austin, Carrie M.",8,17,30,0.566666667
"Austin, Carrie M.",9,18,31,0.580645161
"Austin, Carrie M.",10,14,28,0.5
"Austin, Carrie M.",11,12,19,0.631578947
"Austin, Carrie M.",12,17,25,0.68
"Austin, Carrie M.",13,15,24,0.625
"Austin, Carrie M.",14,4,10,0.4
"Austin, Carrie M.",15,10,23,0.434782609
"Austin, Carrie M.",16,13,26,0.5
"Austin, Carrie M.",17,9,24,0.375
"Austin, Carrie M.",18,14,34,0.411764706
"Balcer, James",1,11,11,1
"Balcer, James",2,24,24,1
"Balcer, James",3,21,34,0.617647059
"Balcer, James",4,21,27,0.777777778
"Balcer, James",5,19,29,0.655172414
"Balcer, James",6,20,32,0.625
"Balcer, James",7,14,21,0.666666667
"Balcer, James",8,15,24,0.625
"Balcer, James",9,19,27,0.703703704
"Balcer, James",10,16,18,0.888888889
"Balcer, James",11,9,14,0.642857143
"Balcer, James",12,17,23,0.739130435
"Balcer, James",13,13,19,0.684210526
"Balcer, James",14,3,4,0.75
"Beale, Anthony",1,9,9,1
"Beale, Anthony",2,20,20,1
"Beale, Anthony",3,23,29,0.793103448
"Beale, Anthony",4,17,24,0.708333333
"Beale, Anthony",5,17,26,0.653846154
"Beale, Anthony",6,18,34,0.529411765
"Beale, Anthony",7,11,20,0.55
"Beale, Anthony",8,15,22,0.681818182
"Beale, Anthony",9,18,25,0.72
"Beale, Anthony",10,15,22,0.681818182
"Beale, Anthony",11,10,14,0.714285714
"Beale, Anthony",12,19,22,0.863636364
"Beale, Anthony",13,12,15,0.8
"Beale, Anthony",14,6,10,0.6
"Beale, Anthony",15,14,19,0.736842105
"Beale, Anthony",16,14,20,0.7
"Beale, Anthony",17,14,19,0.736842105
"Beale, Anthony",18,23,30,0.766666667
"Brookins, Jr., Howard",1,6,6,1
"Brookins, Jr., Howard",2,25,25,1
"Brookins, Jr., Howard",3,25,38,0.657894737
"Brookins, Jr., Howard",4,16,31,0.516129032
"Brookins, Jr., Howard",5,13,27,0.481481481
